id,track_name,size_bytes,price,prime_genre,rating_count_tot
284035177,Pandora - Music & Radio,130242560,0.0,Music,1126879
324684580,Spotify Music,132510720,0.0,Music,878563
284993459,"Shazam - Discover music, artists, videos & lyrics",147093504,0.0,Music,402925
290638154,iHeartRadio – Free Music & Radio Stations,116443136,0.0,Music,293228
336353151,SoundCloud - Music & Audio,105009152,0.0,Music,135744
421254504,Magic Piano by Smule,55030784,0.0,Music,131695
509993510,Smule Sing!,109940736,0.0,Music,119316
418987775,TuneIn Radio - MLB NBA Audiobooks Podcasts Music,101735424,0.0,Music,110420
510855668,Amazon Music,77778944,0.0,Music,106235
355554941,SoundHound Song Search & Music Player,70516736,0.0,Music,82602
